decision,confirmed_name,confirmed_category_id,confirmed_category_name,sample_id,candidate_name,alternative_names,name_score,name_ocr_confidence,dataset_label_ids,dataset_label_names,ocr_suggested_id,ocr_suggested_name,ocr_suggested_score,review_status,evidence,image,review_image,ocr_json,ocr_text
reject,,,,181,产品批号,假货镭射 | 正品射,5.999,0.99969,17,其它,,,0,curated_rejected,人工数据库复核：防伪标签展示，无法确认药品名称。,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\181.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\181.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\181.json,正品射 | 生产日期： | 产品批号： | 有效期至： | 假货镭射 | 2019/09/09 | 生产日期： | 20190909 | 产品批号： | 2022/090/09 | 有效期至：
,,17,其它,184,,,0.0,0.0,17,其它,,,0,medicine_name_missing,数据集只有一个类别标签，仍需核对药名和类别,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\184.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\184.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\184.json,VERALGUX | 2509 | VERALGUX | VERALGUX | 50010G) | VERALGUX | 260m19 | VERALGUX | 125mg | VERALGUX | 125mg
reject,,,,185,小电素材铺,小包影洁铺,5.209,0.8023,17,其它,,,0,curated_rejected,人工数据库复核：设计素材图片，不是药品。,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\185.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\185.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\185.json,Square.Box | 0.1 | Square.Box | 小包影洁铺 | mocuprtsouce | Crutivn Soowe | Square.Box | 0.1 | Square.Box | 小电素材铺 | modkup resource | Critive.Scene
,祛风止痒口服液,9,外用药,195,祛风止痒口服液,泰华堂,11.998,0.99958,9,外用药,,,0,needs_review,数据集只有一个类别标签，仍需核对药名和类别,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\195.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\195.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\195.json,泰华堂 | 【批准文号】国药准字B20020371 | 祛风止痒口服液 | QUFENG ZHIYANG KOUFUYE | 10ml×6支 | 四川泰华堂制药有限公司
reject,,,,197,默克达美,本产品符合饲料卫生标准 | 本产品符合饲科卫生标准,5.999,0.99977,17,其它,,,0,curated_rejected,人工数据库复核：动物饲料相关产品，不属于人用药品数据库。,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\197.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\197.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\197.json,"默克达美 | 默克达美 | Only·dam | Only·dam° | 本产品符合饲料卫生标准 | 本产品符合饲料卫生标准 | Q0113MKV001-2020 | Q0113MM/001-2020 | 唯可解 | 唯可解 | BESTVIM | MERXOW MREA | MERKDU MREA | 1.7fl.oz/vial/box | 1.7fl.oz/vial/box | 济南凰克达美生物工程有限公司 | 苏路新克达美生排工程有限公司 | 2200区 4006819 | /：400626 109 | 此处接压开启 | 此财按建 | Crde eracd f pocir ttur | 'MERCKDAM"" | Cdredact o'pxor toerr | 'MERCKDAM"" | 默克达美 | 默克达美 | 本产品符合饲料卫生标准 | Only·dam | 本产品符合饲科卫生标准 | Only | Q/0113M0/001-22 | Q113M0M001-20 | 唯可解 | MERCKDON R | 1.7fl.oz/vial/box | MEROKON MR | 1.7 | 济南默克达美生机工程有限公司 | 济南默克达美生银工程有限公司 | 全国电营电话：4070636108 | 技术报务用站：wwuber | 此处按区开启 | 此处报压开启 | KDAM | Ctce ndatopaar ber | MERCKDAM | Ctoe etacro pair boer | 克达美 | 默克达美 | 动设计 | nly·dam | 本产品符合饲料卫生标准 | Only·dam | 本产品符合饲科卫生标准 | O0113M04001-2220 | Q10113M01001-2020"
,,17,其它,203,,,0.0,0.0,17,其它,,,0,medicine_name_missing,数据集只有一个类别标签，仍需核对药名和类别,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\203.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\203.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\203.json,BLONEPRPLE | KERATOECEB | please contact us in time. We | product or refund it. Thank | SITCER | satisfied with the product or | pur   onot | Thank you for your
reject,,,,210,家庭医药箱,大容量好分类,6.0,0.99997,17,其它,,,0,curated_rejected,人工数据库复核：家庭药品收纳箱，不是药品。,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\210.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\210.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\210.json,新品 | 家庭医药箱 | 大容量好分类
,,17,其它,216,,,0.0,0.0,17,其它,,,0,medicine_name_missing,数据集只有一个类别标签，仍需核对药名和类别,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\216.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\216.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\216.json,
,湿毒清片,9,外用药,219,湿毒清片,养血润燥，化湿解毒，祛风止痒。用 | 于皮肤瘙痒症属血虚湿蕴皮肤证者,11.999,0.99976,9,外用药,,,4,needs_review,数据集只有一个类别标签，仍需核对药名和类别,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\219.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\219.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\219.json,诺金 | 国药准字Z20050218 OTC | 湿毒清片 | Shiduqing Pian | 养血润燥，化湿解毒，祛风止痒。用 | 于皮肤瘙痒症属血虚湿蕴皮肤证者 | 每盒48片 | 广州诺金制药有限公司
reject,,,,228,健牌糕片,包装效果图,11.215,0.80364,17,其它,,,0,curated_rejected,人工数据库复核：包装效果图，无法确认真实药品。,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\228.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\228.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\228.json,包装效果图 | 上天 | 42 | 健牌糕片 | μ | h | MN | 150006 | 东()
,清咽片,2,消炎药,233,清咽片,天津同仁堂 | 同仁堂,9.999,0.99986,2,消炎药,,,0,needs_review,数据集只有一个类别标签，仍需核对药名和类别,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\233.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\233.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\233.json,天津同仁堂 | 清咽片 | OTC | TAIYANE | 同仁堂 | 国药准字Z12020018 | 0.25克×20片×2板 | 天津同仁堂集团股份有限公司
reject,,,,236,编号：2103032,风尘雨露 | 国R车120/525456,5.994,0.99843,17,其它,,,0,curated_rejected,人工数据库复核：无有效药品名称的素材图。,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\236.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\236.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\236.json,T动中INWWW.REDOCN.COM | 国R车120/525456 | 美节炎 | 河南药品制药有限公司 | 6/盒外 | 编号：2103032 | 红动中国(www.redocn.com) | 风尘雨露
reject,,,,237,研值培房非球面盖光调过,被他此示性入工最法性,4.742,0.6856,17,其它,,,0,curated_rejected,人工数据库复核：OCR 与图像均无法确认药品名称。,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\237.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\237.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\237.json,INTRAOCULAR LENS | 被他此示性入工最法性 | CH | INTRAOCULAR LENS | POSTERIOR CHAMBER | - FOLD | 研值 培房 非球面 盖光调过 | ASPHERIC SURFACE | BEUE  LTONN
